"#","g#","Cover","Album","Streams","Daily"
"","254","","Queen Of The Clouds Tove Lo","3,079,805,584","1,205,746"
"","255","","El Dorado Shakira","3,077,429,673","902,678"
"","256","","Revenge XXXTentacion","3,069,436,637","1,294,641"
"","257","","Norman Fucking Rockwell! Lana Del Rey","3,066,297,956","2,706,047"
"","258","","All Eyez On Me 2Pac","3,057,340,387","1,493,935"
"","259","","Another Friday Night Joel Corry","3,044,033,209","1,384,983"
"","261","","Utopia Travis Scott","3,032,387,996","14,886,409"
"","262","","54+1 Danny Ocean","3,029,977,197","1,436,343"
"","263","","Abbey Road The Beatles","3,025,665,668","1,983,668"
"","264","","Vibras J Balvin","3,007,815,236","644,787"
"","265","","Freudian Daniel Caesar","2,985,623,744","2,518,714"
"","266","","Talk That Talk Rihanna","2,984,256,944","2,515,321"
"","267","","Hoodie SZN A Boogie Wit da Hoodie","2,978,856,152","760,887"
"","268","","Carte Blanche DJ Snake","2,978,605,713","656,659"
"","269","","LP1 Liam Payne","2,974,196,236","501,442"
"","270","","Encore Eminem","2,968,736,441","2,049,195"
"","271","","El Comienzo Grupo Frontera","2,965,460,062","5,267,798"
"","272","","Flicker Niall Horan","2,964,545,903","1,523,145"
"","273","","Cosmic Bazzi","2,955,356,950","553,445"
"","274","","Only Human Calum Scott","2,951,221,705","1,335,799"
"","275","","Her Loss Drake & 21 Savage","2,947,738,257","2,833,184"
"","276","","Not All Heroes Wear Capes Metro Boomin","2,944,988,852","2,221,616"
"","277","","Fénix Nicky Jam","2,941,186,824","725,934"
"","278","","Funk Wav Bounces Vol.1 Calvin Harris","2,940,181,339","733,261"
"","279","","Long Way Down Tom Odell","2,931,633,530","2,118,454"
"","280","","Balas Perdidas Morat","2,919,754,909","2,407,566"
"","281","","Feliz Cumpleaños, Ferxxo, Te Pirateamos El Álbum Feid","2,919,288,596","3,384,131"
"","282","","Rare Selena Gomez","2,895,646,430","1,299,223"
"","283","","Die Lit Playboi Carti","2,890,522,716","1,934,980"
"","284","","The Twilight Saga: Breaking Dawn - Part 1 Various Artists","2,888,356,857","1,858,823"
"","285","","The Search NF","2,884,455,869","1,229,204"
"","286","","Swimming Mac Miller","2,882,090,492","1,291,792"
"","288","","The Wall Pink Floyd","2,857,704,544","1,290,788"
"","289","","Thats What They All Say Jack Harlow","2,857,372,336","987,488"
"","290","","Golden Jung Kook","2,856,875,899","9,385,130"
"","291","","Death Of A Bachelor Panic! At The Disco","2,854,134,456","1,073,343"
"","292","","Confessions Usher","2,839,477,800","2,738,700"
"","293","","Frozen Various Artists","2,837,282,007","1,303,455"
"","294","","Dharma Sebastian Yatra","2,806,903,350","1,387,213"
"","295","","The Game Queen","2,805,155,409","1,915,507"
"","296","","Culture Migos","2,801,183,317","441,598"
"","297","","Only By The Night Kings of Leon","2,799,630,382","1,751,171"
"","298","","Man On The Moon: The End Of Day Kid Cudi","2,785,973,998","1,214,249"
"","299","","Renaissance Beyoncé","2,785,298,526","2,222,604"
"","300","","Watch The Throne Jay-Z & Kanye West","2,780,861,279","1,957,413"
"","301","","Donda Kanye West","2,760,939,310","1,327,448"
"","302","","Cleopatra The Lumineers","2,758,344,424","1,674,126"
